,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
VOL_ATRChgRate_SNZ,3.279866393760795e-05,0.0,0.0,0.0,1.0494936062004066e-05,0.0
VOL_VolatilityParkinson_CSZ,0.00010094664531897818,0.00010067627813816958,0.0,4.826623345845866e-05,0.00018630594006658764,0.0
VOL_VolatilityParkinson_SNZ,1.371602307364951e-05,0.0,0.0,0.0,4.8818157312060926e-05,0.0
VOL_ReturnVolatility_CSZ,0.00017008513830612872,1.5357205006802186e-05,0.0,6.172140521976325e-06,0.00011929710506034296,0.0
VOL_ReturnVolatility_SNZ,1.718103286725107e-05,7.421342351750002e-05,0.0,0.0,9.983979537743188e-05,1.1087503941138267e-05
VOL_VolRatioHV_SNZ,0.0,0.0,0.0,0.0,8.702521006894388e-06,0.0
VOL_DownsideDev60_CSZ,0.00011177305443281439,1.9558921194090736e-05,0.0,1.4044917397048994e-05,5.1178857339403935e-05,0.0
VOL_DownsideDev60_SNZ,4.9659870121162154e-05,0.0,0.0,0.0,1.3466328161277004e-05,0.0
VOL_Volatility60_CSZ,0.00010809529690801194,1.3493422235686422e-05,8.196864821742149e-06,0.0,0.00018223727118209655,0.0
VOL_Volatility60_SNZ,2.6642424963157088e-05,0.0,0.0,0.0,2.555163245939783e-05,0.0
LIQ_AbnormalVolume_CSZ,1.8403282615136076e-05,0.0,0.0,0.0,1.0905805301505408e-05,0.0
LIQ_VolumeChange_CSZ,2.315831574294561e-05,0.0,0.0,0.0,2.4295548671546297e-05,0.0
LIQ_VolumeSlope5_CSZ,2.2001189289973857e-05,0.0,0.0,0.0,6.3169740184267016e-06,0.0
LIQ_LogTradingCap_CSZ,0.00018667147934654267,1.9393572440189772e-05,0.0,0.0,0.0,0.0
LIQ_MFI14_CSZ,0.0,0.0,0.0,0.0,0.0,0.0
LIQ_VolRatio5d_CSZ,4.27051537169167e-05,0.0,0.0,0.0,0.0,0.0
LIQ_VolSpikeCount20_CSZ,0.00032974263406017324,5.2503586730409695e-05,0.0,6.912992350693341e-05,0.00015431759422284734,9.535154541306973e-05
LIQ_VolUpDownRatio_CSZ,2.5336372779439427e-05,0.0,0.0,0.0,0.0,0.0
VOL_VolumeMA25_CSZ,0.0003525795856956201,3.6203050423039664e-05,0.0,0.00010269108944557791,0.0007037549628711469,7.400472992864757e-05
VOL_VolumeMA25_SNZ,0.00012911799424927998,9.637029928757692e-06,0.0,0.0,4.078210447572622e-05,0.0
LIQ_TurnoverRatio_CSZ,0.0004722554071542601,0.00012632937980809223,0.0,5.1882278659300545e-05,0.00011649407000293768,0.0
LIQ_AmihudIlliq_CSR,1.0702780048706807e-05,0.0,0.0,0.0,0.0,0.0
LIQ_AmihudIlliq_CSZ,0.0008036745032481569,0.0009287843476233889,0.0,0.00028949618931954315,0.0009751810502750084,0.00013668909663448904
VAL_LogPBR_CSZ,0.0015042682958941636,0.00014613203807376714,0.0,0.0,0.0003259496346819295,0.0
VAL_LogPBR_SNZ,0.0016108452774344511,3.6565343456580743e-06,0.0,2.836096052690403e-05,5.031851574693727e-05,0.0
VAL_EarningsYield_CSZ,0.001257781208978049,0.0,0.0,1.8126894742960897e-05,7.154685189399782e-05,0.0
VAL_EarningsYield_SNZ,0.0015344906214046592,0.0,0.0,0.0,3.0979569228006754e-05,0.0
QLT_Accruals_CSZ,2.7685366383399175e-05,0.0,0.0,0.0,4.1776814964919225e-06,0.0
QLT_Accruals_SNZ,3.596373140861641e-05,0.0,0.0,0.0,0.0,0.0
QLT_EquityRatio_CSZ,4.9400519666276084e-05,0.0,0.0,0.0,3.428288286328733e-05,0.0
QLT_EquityRatio_SNZ,0.0,0.0,0.0,0.0,4.840960987674278e-06,0.0
QLT_OPMargin_CSZ,0.0001559598751545041,0.0,0.0,0.0,3.6458102115711844e-05,0.0
QLT_OPMargin_SNZ,3.907677994077702e-05,0.0,0.0,0.0,3.2357330063963074e-05,0.0
QLT_ROA_CSZ,0.00011950489269081152,0.0,0.0,6.438001806083313e-05,9.790740524057577e-05,0.0
QLT_ROA_SNZ,2.1847304824843958e-05,0.0,0.0,0.0,9.293640874709431e-05,0.0
QLT_ROE_CSZ,0.0,0.0,0.0,0.0,0.0,1.2321398133276367e-05
QLT_ROE_SNZ,4.297380097335514e-05,0.0,0.0,0.0,0.0,0.0
QLT_OperatingProfitGrowthYOY_SNZ,0.00011291850508637159,1.4190990506926792e-05,0.0,0.0,1.607722474197587e-05,0.0
QLT_SalesGrowthYOY_CSZ,0.00014311833741036757,3.0614411211527884e-05,0.0,8.215072150941578e-06,2.4323307464865482e-05,0.0
QLT_SalesGrowthYOY_SNZ,2.9808865025383984e-05,0.0,0.0,0.0,0.0,0.0
QLT_EPSGrowthYOY_SNZ,2.1100402391355714e-05,0.0,0.0,0.0,0.0,0.0
SIZ_LogMarketCap_CSZ,4.159892492924597e-05,1.582033667697227e-05,0.0,1.3734839550670262e-05,8.244718707482755e-06,0.0
SPD_DistVWAP5_CSZ,6.200481422001916e-05,0.0,0.0,3.567678394643007e-05,0.0,0.0
SPD_DistVWAPSlope_CSZ,2.0086866742319393e-05,0.0,0.0,0.0,8.612064394641398e-05,0.0
SPD_VWAPDev_CSR,0.00022020973256954346,0.0,0.0,5.4574095001757034e-05,0.00018853545617243623,0.0
SPD_VWAPDev_CSZ,0.005268631436127238,0.002491692980563372,0.0,0.0028623481428671172,0.004614298005362072,0.00029941572029102933
SPD_MarginBuyImpact_CSZ,0.0017135638833406632,0.0,0.0,2.269099244460649e-05,2.72334151029305e-05,0.0
SPD_MarginRatio_CSZ,0.0005417663412168815,0.0,0.0,0.0,4.135527546529955e-05,0.0
SPD_MarginRatioDelta4w_CSZ,3.911720047933662e-05,0.0,0.0,0.0,1.52636687446964e-05,0.0
SPD_MarketForeignBuy_CSR,0.00022031303709447783,0.0,0.0,0.0,0.00013279868426932848,0.0
