,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
VOL_MAE5_TSR_252D,6.28185473742815e-05,0.00010557823061137788,7.076300083793474e-06,0.00012062393623458946,7.238528118565204e-06,3.0627991754528995e-05
VOL_MAE10_TSZ_20D,2.0761489037073584e-06,2.392044174046808e-05,0.0,9.036786114904235e-06,9.991233907065307e-06,9.708259557622097e-06
VOL_MAE10_TSR_252D,0.0,3.2517420814704325e-05,0.0,3.215185893880004e-06,0.0,2.998384495955361e-06
VOL_DownsideRun_TSZ_20D,0.0,5.4328494902189114e-05,0.0,2.7159848498793588e-05,5.081223729357638e-06,5.8011271623542856e-05
VOL_DownsideRun_TSR_252D,2.3297768899369966e-05,9.805504770834043e-05,0.0,3.527379701601426e-05,0.0,2.5173632755251357e-05
VOL_ReturnSkewnessDiff_TSZ_20D,0.0,9.222233296616739e-05,0.0,0.0,0.0,4.940107770131662e-06
VOL_ReturnKurtosis_TSZ_20D,6.550748067021193e-06,2.1823794480400645e-05,0.0,3.536913538967623e-05,0.0,0.0
VOL_ReturnKurtosis_TSR_252D,0.0,3.520607216770854e-05,0.0,2.356700903077399e-06,0.0,1.179752432280204e-06
VOL_GapAbs_TSZ_20D,0.0,5.208969748375751e-05,8.527453394454213e-06,7.051120925755303e-05,6.171399451201169e-06,4.0280040036768924e-06
VOL_GapAbs_TSR_252D,1.1115763665791954e-05,8.116770212965126e-05,0.0,3.3255630966494235e-05,5.029348421859872e-06,8.809523266245409e-06
VOL_LargeMoveCount_TSZ_20D,0.0,2.6012063712597773e-05,0.0,5.5283507536224556e-06,1.3038300999494861e-05,0.0
VOL_LargeMoveCount_TSR_252D,0.0,4.609299521500236e-05,0.0,3.83161327222322e-05,0.0,6.613801103325399e-06
VOL_RangeRatioLong_TSZ_20D,1.646346579651161e-05,3.857205513331867e-05,0.0,6.327680992078543e-06,0.0,2.6982564955950193e-05
VOL_RangeRatioLong_TSR_252D,0.0,2.517613174496815e-05,0.0,4.266532594182117e-06,2.557074671416712e-06,7.831231729177894e-05
VOL_ATRRatio_TSZ_20D,6.630876227707401e-06,4.612166545668344e-05,0.0,1.2782763549948604e-05,6.035761282528572e-06,4.5390143571652516e-05
VOL_ATRRatio_TSR_252D,0.0,0.0001807621220397539,1.3237080803949104e-05,4.9419127570982196e-05,3.657911680649646e-06,8.18661827971493e-05
