,fold_0,fold_1,fold_2,fold_3,fold_4
MOM_NewHighFlag3_TSR_252D,0.0,1.2620998883487993e-05,0.00013276387500854692,0.001134872309835362,2.0319812187203566e-05
MOM_PricePos120_TSZ_20D,0.0,0.0,1.016093752067063e-05,1.3883993389082552e-05,0.0
MOM_PricePos120_TSR_252D,0.0,7.257968189977117e-05,0.000768665572977464,4.7588935712161934e-05,0.0
MOM_IchimokuDist_TSZ_20D,0.0,5.666468974316386e-05,1.2635325435969397e-05,0.0011323808738988837,0.0005293195388572361
MOM_IchimokuDist_TSR_252D,3.171407127543829e-05,5.204928724812732e-05,0.0,6.329622022315542e-05,2.4485622418446594e-05
MOM_LogReturn_TSR_252D,0.0,0.0,9.830445913389002e-05,0.00012103614581055699,0.0006457702097831028
MOM_Return3d_TSZ_20D,0.0,0.0,2.8449988377526163e-05,0.0,0.0
MOM_Return3d_TSR_252D,0.0,0.0,0.0,0.0,0.0
MOM_Return5d_TSZ_20D,0.0,0.0,9.519964789694511e-05,0.0,0.0
MOM_Return5d_TSR_252D,0.0,0.0,0.0,0.0002504366900095293,0.0
MOM_Return10d_TSZ_20D,0.0,0.0,0.0,2.3829967180643227e-05,0.0
MOM_Return10d_TSR_252D,0.0,0.0,0.0,4.5237447954165976e-05,0.00018604142162746047
MOM_Return20d_TSZ_20D,0.0,0.0,7.63325538727902e-05,0.0,3.2361823624156734e-05
MOM_Return20d_TSR_252D,0.0,0.0,0.00028160212974486073,0.0,7.829109716965244e-05
MOM_Return1dLag1_TSR_252D,0.0,0.0,0.0003854915113808322,0.00010217025692085126,0.0
MOM_Return1dLag2_TSR_252D,0.0,0.0,0.0,3.238255163518366e-05,7.038527320707865e-05
MOM_RSI9-14Diff_TSZ_20D,0.0,0.0,0.0,0.0,0.00042156614148528693
MOM_RSI9-14Diff_TSR_252D,0.0,0.0,8.625831400941263e-05,3.656985444637733e-05,9.027515185960331e-05
MOM_BBPercentB_TSZ_20D,0.0,0.0,0.00047356170898316666,0.0,0.0
MOM_UpperShadowRatio_TSZ_20D,0.0,0.0,0.0,0.0,0.0
MOM_UpperShadowRatio_TSR_252D,0.0,2.3486162285923844e-05,0.0,0.0,2.0335506458310458e-05
MOM_LowerShadowRatio_TSZ_20D,0.0,0.0,5.35218257763226e-05,0.0,0.0
MOM_LowerShadowRatio_TSR_252D,0.0,0.0,0.0,0.00019563085246462823,0.0
MOM_IntradayStrength_TSR_252D,0.0,0.0,5.978396474047491e-05,0.0,0.0
MOM_LowerShadowMA5_TSZ_20D,0.0,0.0,0.0,2.4679935103004336e-05,9.729393059127867e-05
MOM_LowerShadowMA5_TSR_252D,0.0,0.0,5.337030549656794e-05,5.716194585687679e-05,0.0
MOM_Streak_TSZ_20D,0.0,0.0,0.0,3.2500887300600714e-05,0.0005233922512226151
MOM_Streak_TSR_252D,0.0,0.0,0.0,0.0,0.0
MOM_BullishRatio20_TSZ_20D,0.0,0.0,2.2737033625097335e-05,0.0002477319314249805,0.0
MOM_BullishRatio20_TSR_252D,0.0,0.0,0.0,0.0,0.0
MOM_ClosePosition_TSZ_20D,0.0,0.0,8.345378143172597e-05,0.0,0.0
MOM_ClosePosition_TSR_252D,0.0,0.0,2.1349696375569058e-05,2.2227310072637003e-05,7.906185415733217e-05
MOM_GapRate_TSZ_20D,0.0,0.0,0.00013102531008097373,3.58846405522832e-05,2.8003689246563987e-05
MOM_GapRate_TSR_252D,0.0,0.0,1.5450510467383485e-05,0.00013145407183297835,0.0002938415471225921
MOM_MaxGain5_TSZ_20D,0.00011645400417394401,0.0,0.0,0.0,0.0
MOM_MaxGain5_TSR_252D,0.0,0.0,0.0,8.619031591086493e-05,0.0
MOM_RCI9_TSZ_20D,0.0,0.0,0.0,0.0,0.0
MOM_RCI9_TSR_252D,0.0,0.0,1.9887287524244124e-05,0.0002720400433468935,9.372840572118802e-05
MOM_RCI9Diff_TSR_252D,0.0,0.0,0.0,0.00012906914267550492,0.0
MOM_RCI26_TSZ_20D,0.0,0.0,1.6726493817942682e-05,0.00016466054484749873,4.156745848238851e-05
MOM_RCI26_TSR_252D,0.0,0.0,0.00015239130129010052,7.638218632957555e-05,0.0
MOM_RCI26Diff_TSZ_20D,0.0,0.0,9.609374527536323e-06,0.0,2.853479638390901e-05
MOM_RCI26Diff_TSR_252D,0.0,0.0,4.564299579231722e-05,0.0,0.0
MOM_RCI52_TSZ_20D,0.0,0.0,3.835711409509483e-05,0.0030163243689581005,0.0005050455786337058
MOM_RCI52_TSR_252D,2.2147939805602474e-05,0.0,4.3998681680754495e-05,0.00016232147602195557,0.0
MOM_Momentum12-1_TSZ_20D,0.0,0.0,0.0001493855227629677,0.00010320536433851415,0.0004180011789375376
MOM_Momentum12-1_TSR_252D,0.0,0.0,0.0003461790742020096,0.0003253562110389883,0.0005329957193370791
